text_id,title,question_id,correct
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,1,B
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,2,A
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,3,A
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,4,D
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,5,A
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,6,C
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,7,B
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,8,C
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,9,D
1,Licht im Dunkel: Biolumineszenz in der Tiefsee,10,B
2,Die Bibliothek der vergessenen Sprachen,1,B
2,Die Bibliothek der vergessenen Sprachen,2,D
2,Die Bibliothek der vergessenen Sprachen,3,B
2,Die Bibliothek der vergessenen Sprachen,4,A
2,Die Bibliothek der vergessenen Sprachen,5,C
2,Die Bibliothek der vergessenen Sprachen,6,A
2,Die Bibliothek der vergessenen Sprachen,7,A
2,Die Bibliothek der vergessenen Sprachen,8,D
2,Die Bibliothek der vergessenen Sprachen,9,C
2,Die Bibliothek der vergessenen Sprachen,10,C
3,Quantenverschränkung und die Grenzen der klassischen Physik,1,A
3,Quantenverschränkung und die Grenzen der klassischen Physik,2,A
3,Quantenverschränkung und die Grenzen der klassischen Physik,3,C
3,Quantenverschränkung und die Grenzen der klassischen Physik,4,D
3,Quantenverschränkung und die Grenzen der klassischen Physik,5,C
3,Quantenverschränkung und die Grenzen der klassischen Physik,6,D
3,Quantenverschränkung und die Grenzen der klassischen Physik,7,B
3,Quantenverschränkung und die Grenzen der klassischen Physik,8,C
3,Quantenverschränkung und die Grenzen der klassischen Physik,9,A
3,Quantenverschränkung und die Grenzen der klassischen Physik,10,B
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,1,D
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,2,A
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,3,C
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,4,B
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,5,D
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,6,B
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,7,C
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,8,D
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,9,A
4,Das Voynich-Manuskript: Ein ungelöstes Rätsel der Schriftgeschichte,10,B
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,1,C
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,2,B
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,3,D
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,4,D
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,5,A
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,6,D
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,7,A
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,8,C
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,9,D
5,Feldnotizen aus dem Jahr 2187: Die stille Stadt,10,B
6,Schlaf und Gedächtniskonsolidierung: Was im schlafenden Gehirn geschieht,1,B
